time,reported_cases,reported_cases_c,predicted_cases_c,predicted_min_c,predicted_max_c,predicted_cases,predicted_min,predicted_max,predicted_min2,predicted_max2,deaths,deaths_c,estimated_deaths_c,death_min_c,death_max_c,estimated_deaths,death_min,death_max,death_min2,death_max2,rt,rt_min,rt_max,rt_min2,rt_max2,country_region_code,country_region,iso_3166_2_code,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,AS,BC,BS,CC,CH,CL,CM,CS,DF,DG,GR,GT,HG,JC,MC,MN,MS,NL,NT,OC,PL,QR,QT,SL,SP,SR,TC,TL,TS,VZ,YN,ZS
2020-04-25,60,694,71838.0942515302,981.7960371572631,1246613.50903693,2413.6865146671203,27.122497788251902,42835.4831690364,38.177514867967,54.0621599322373,7,100,132.14911156136003,76.42381136618171,180.00529427393903,7.00918398266104,5.75221348191942,8.4565299293509,6.54420259164297,7.43925357092036,1.11266614279342,0.6643437698562701,1.48005955833887,0.9849309441335841,1.26608335879756,MX,Mexico,MX-CHH,-62,-25,-52,-62,-32,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-26,33,727,73828.3530071521,1003.84175108138,1283013.52025853,1990.25875562195,22.0457139241201,36400.0112215956,38.447205420976296,65.49595558115729,5,105,139.310577034681,82.33058395994209,188.636405087091,7.1614654733216,5.90677259376044,8.63111081315139,6.685663183723661,7.60994106725456,1.19663588644999,0.47144245578365296,1.91294317213621,0.939981522890053,1.4754629415084801,MX,Mexico,MX-CHH,-66,-32,-60,-67,-30,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-27,47,774,76026.1409747918,1033.08548091472,1317293.09219082,2197.78796763971,29.2437298333366,34279.571932287996,36.1739174064635,45.417197205723895,6,111,146.612593178722,88.38746622290209,197.436609986276,7.30201614404082,6.05688226296,8.80020489918576,6.83311129420214,7.7555665600862005,0.967178247268222,0.791863521031004,1.1551897612532,0.892572760703444,1.04263834190037,MX,Mexico,MX-CHH,-56,-26,-44,-63,-49,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-28,46,820,78187.6495536613,1060.85603082027,1350984.272562,2161.50857886951,27.7705499055469,33691.1803711866,38.235395200581,53.8770769174856,4,115,154.047114073945,94.5918753416304,206.350729972329,7.43452089522232,6.204409118728349,8.914119986053029,6.937744140968161,7.883919034240661,1.06817625225701,0.712930059256548,1.4717790747255,0.9312651974215209,1.2156304140115,MX,Mexico,MX-CHH,-55,-23,-42,-61,-51,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-29,42,862,80630.7135229307,1094.34268943258,1394067.19259569,2443.06396926942,33.4866586123162,43082.9200336839,41.3509744777176,51.04897236363,7,122,161.602852413748,100.944039666549,215.373499694581,7.55573833980366,6.3521643249190305,9.02276972225167,7.05798137457754,7.999194074547499,1.07915243244398,0.881219597610548,1.21309479312519,1.01632503951352,1.1475964656163602,MX,Mexico,MX-CHH,-54,-17,-44,-59,-50,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-30,48,910,83504.1104728898,1114.57917300514,1441464.67408945,2873.3969499590303,20.2364835725609,47397.481493759406,25.3556298559111,31.273977513603803,8,130,169.274433956355,107.43142974160601,224.48813972082002,7.67158154260645,6.48739007505653,9.11464002623838,7.16262010170285,8.1476636566713,0.686723118436193,0.453825937340392,1.13388267071259,0.5845746160218189,0.744565647351433,MX,Mexico,MX-CHH,-44,-3,-34,-55,-49,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-01,63,973,85457.8659326446,1139.9213247206,1474002.82845166,1953.7554597548,25.3421517154579,32538.154362214398,39.0931236380111,55.48994856198879,12,142,177.053954408491,114.021845912577,233.769548081517,7.779520452136611,6.59041617097092,9.281408360697881,7.27174386890423,8.25744128196267,1.07231037523784,0.60450471982526,1.5434353722371,0.87964203963683,1.2638616707741201,MX,Mexico,MX-CHH,-60,-16,-44,-64,-66,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-02,50,1023,87541.8377482447,1167.6053255525699,1511656.86284578,2083.97181560017,27.6840008319689,37654.0343941166,36.6259076550594,51.172680038076706,6,148,184.937601684204,120.686645831895,243.22797509699902,7.8836472757126,6.664799919318059,9.45842701548116,7.353552962833049,8.3340544383287,0.993219694446235,0.69059470833375,1.2335626064869598,0.908335059515956,1.09142910689176,MX,Mexico,MX-CHH,-60,-21,-48,-61,-35,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-03,45,1068,89278.2217802078,1187.3812559338,1543280.72145197,1736.3840319630401,19.7759303812317,31623.8586061906,33.0621295186816,57.9744439217381,9,157,192.91855695154098,127.476822729454,252.789612404223,7.98095526733669,6.79017689755917,9.5616373072241,7.439025602165801,8.40136304743413,1.0091723300659001,0.42755857642717293,1.63661635968385,0.780186417842511,1.21797057409876,MX,Mexico,MX-CHH,-64,-30,-56,-66,-27,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-04,47,1115,91402.0353870582,1215.76242434776,1577088.54079895,2123.81360685041,28.3811684139528,33807.8193469781,34.838675176424104,43.397426152101005,11,168,200.99140563704898,134.386954579134,262.423509136225,8.07284868550791,6.9101318496803,9.633896732002722,7.53889728607283,8.49246233167683,0.911649092002661,0.76273720546746,1.10959032572722,0.855660030740516,0.958432250230048,MX,Mexico,MX-CHH,-51,-20,-40,-59,-47,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-05,41,1156,93494.651421314,1246.82120229497,1611968.74129263,2092.61603425585,31.058777947217397,34880.200493687,38.895536166434,50.0646082664472,4,172,209.15191910501701,141.369214593453,272.148671755497,8.16051346796855,6.98226001431816,9.72516261927125,7.63942642443675,8.57229332322661,1.0328983423806,0.824482069072024,1.27274168294251,0.955436453130383,1.11275200088553,MX,Mexico,MX-CHH,-52,-19,-40,-58,-50,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-06,39,1195,95546.32686160461,1279.5123108805699,1646278.95511775,2051.67544029053,32.6911085855945,34310.2138251142,39.8274320559888,48.1487612126275,10,182,217.393601763402,148.39565697128,282.06159386597596,8.241682658384951,7.026442377827231,9.91292211047949,7.74708217710911,8.65860725301809,1.0350786556290401,0.864135041292167,1.15950730009507,0.988338151843967,1.09327825210498,MX,Mexico,MX-CHH,-53,-17,-42,-58,-48,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
