time,country,reported_cases,reported_cases_c,predicted_cases_c,predicted_min_c,predicted_max_c,predicted_cases,predicted_min,predicted_max,predicted_min2,predicted_max2,deaths,deaths_c,estimated_deaths_c,death_min_c,death_max_c,estimated_deaths,death_min,death_max,death_min2,death_max2,rt,rt_min,rt_max,rt_min2,rt_max2,country_region_code,country_region,iso_3166_2_code,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
2020-06-06,PL,213,5854,9573.33111748443,6285.18657363833,13687.6500262536,114.123866819969,60.9133529902804,189.183132870189,90.7714187772958,131.266760530956,31,710,691.909436603013,582.870749574208,816.977025884867,17.2984719267352,15.1565748522927,19.5117514787179,16.5400142843322,18.0963639624703,0.774771419354316,0.539098903953003,1.09444914824238,0.6756477588152,0.860346822965518,MX,Mexico,MX-PUE,-56,-16,-44,-36,-15,15
2020-06-07,PL,172,6026,9686.79520422499,6336.35793579627,13891.4597580844,113.46408674056,51.1713621579453,203.809731830756,83.0872484226146,140.07547846815,21,731,709.225817703279,597.981331515575,836.572803889599,17.3163811002655,15.1105819413668,19.5957780047325,16.5307700485387,18.079721864838,0.777002591124629,0.400373812977605,1.32791112778385,0.587977072147117,0.937895639381871,MX,Mexico,MX-PUE,-59,-23,-50,-41,-9,13
2020-06-08,PL,237,6263,9840.38968537833,6436.99934530129,14113.6187540703,153.594481153347,100.641409505012,222.158995985911,129.758952598377,170.171183682178,19,750,726.551108436636,613.042282159655,856.285612734408,17.3252907333577,15.0609506440806,19.7128088448087,16.560557774779,18.1079783521563,1.06595256209606,1.0021260120325,1.1342608945805,1.04349646760768,1.08720470735661,MX,Mexico,MX-PUE,-50,-18,-42,-40,-40,18
2020-06-09,PL,189,6452,9993.14117688588,6532.52035015376,14342.076311334,152.751491507549,95.5210048524768,228.457557263677,130.073096370232,168.446144263731,23,773,743.876745172671,628.092604230463,876.086926851733,17.3256367360351,15.0503220708083,19.8013141173253,16.5433645197644,18.1804217963648,1.07909603953237,0.952481805061628,1.1922180211972,1.03829652449611,1.1236996805838,MX,Mexico,MX-PUE,-53,-20,-43,-41,-42,19
2020-06-10,PL,370,6822,10151.44416476,6634.57512303784,14570.267151406,158.302987874079,102.054772884073,228.190840072047,133.699983073264,174.638425625621,22,795,761.191082895843,643.050789283691,896.018052155131,17.3143377231715,14.9581850532271,19.9311253033983,16.4845597734969,18.1176230605153,1.12823981385501,1.05039367258844,1.21903658358599,1.09540839349905,1.1603946643138,MX,Mexico,MX-PUE,-50,-16,-40,-39,-41,18
2020-06-11,PL,202,7024,10297.526461367,6726.31392157974,14792.5311860885,146.082296607003,91.7387985419079,222.264034682451,119.99526113605,162.790880496328,15,810,778.480530454604,657.84434259727,916.047057622796,17.2894475587614,14.7935533135796,20.0290054676642,16.4081267430906,18.0792823635883,1.039656475659,0.819212180548566,1.22010722969083,0.9832434032551,1.1067398858632,MX,Mexico,MX-PUE,-50,-15,-41,-41,-42,20
2020-06-12,PL,259,7283,10444.4904278571,6815.49008973022,15028.6473451956,146.963966490176,89.1761681504732,236.11615910712,119.360303624696,168.655038307729,23,833,795.734250319229,672.428558459719,936.099574147711,17.2537198646247,14.5842158624488,20.0525165249153,16.3329565066697,18.1248581642019,1.03912487500098,0.69237204552479,1.32716366933198,0.962396153460535,1.1351038548994,MX,Mexico,MX-PUE,-51,-12,-40,-42,-37,20
2020-06-13,PL,185,7468,10573.3981860963,6880.4688652363,15253.7219840093,128.907758239141,64.9787755060846,225.074638813721,99.7195862469535,150.538215296533,22,855,812.944756349054,686.881277998101,956.211178168326,17.2105060298248,14.4527195383818,20.1116040206152,16.2550776980625,18.0849929317058,0.894172901948173,0.58892910373672,1.29855816052298,0.754222991325376,1.0307867191956,MX,Mexico,MX-PUE,-53,-13,-40,-36,-11,14
2020-06-14,PL,166,7634,10699.7415750035,6928.86066153895,15507.7320780975,126.343388907244,48.3917963026455,254.010094088222,86.42574681023,156.362956505363,19,874,830.109320193257,701.200317986197,976.498592114521,17.1645638442028,14.3190399880962,20.2874139461946,16.1726408198782,18.0889794023982,0.87399197780312,0.434415842689192,1.53755556911241,0.64233625970818,1.07173774967075,MX,Mexico,MX-PUE,-57,-21,-47,-41,-5,12
2020-06-15,PL,290,7924,10861.7967106384,7023.91297326233,15771.9480706028,162.055135634887,95.0523117233872,264.215992505294,131.549720533889,188.747384723117,20,894,847.22477297147,715.386122190618,996.808345430049,17.115452778213,14.1858042044208,20.3097533155287,16.0867157989278,18.0856611140074,1.12746639296985,0.861725232778462,1.39463950105198,1.03652043731726,1.21661528855524,MX,Mexico,MX-PUE,-41,-7,-35,-37,-38,17
